A-Bomb (HAS);Hi there! A-Bomb (HAS) on the Super Heroes Chit Chat!;1
A-Bomb (HAS);Ready for chitchat-ting?;1
A-Bomb (HAS);Drop me a line...;1
A.I.M.;Hi there! A.I.M. on the Super Heroes Chit Chat!;2
A.I.M.;Ready for chitchat-ting?;2
A.I.M.;Drop me a line...;2
Aaron Stack;Hi there! Aaron Stack on the Super Heroes Chit Chat!;3
Aaron Stack;Ready for chitchat-ting?;3
Aaron Stack;Drop me a line...;3
Abomination (Emil Blonsky);Hi there! Abomination (Emil Blonsky) on the Super Heroes Chit Chat!;4
Abomination (Emil Blonsky);Ready for chitchat-ting?;4
Abomination (Emil Blonsky);Drop me a line...;4
Abomination (Ultimate);Hi there! Abomination (Ultimate) on the Super Heroes Chit Chat!;5
Abomination (Ultimate);Ready for chitchat-ting?;5
Abomination (Ultimate);Drop me a line...;5
Absorbing Man;Hi there! Absorbing Man on the Super Heroes Chit Chat!;6
Absorbing Man;Ready for chitchat-ting?;6
Absorbing Man;Drop me a line...;6
Abyss;Hi there! Abyss on the Super Heroes Chit Chat!;7
Abyss;Ready for chitchat-ting?;7
Abyss;Drop me a line...;7
Abyss (Age of Apocalypse);Hi there! Abyss (Age of Apocalypse) on the Super Heroes Chit Chat!;8
Abyss (Age of Apocalypse);Ready for chitchat-ting?;8
Abyss (Age of Apocalypse);Drop me a line...;8
Adam Destine;Hi there! Adam Destine on the Super Heroes Chit Chat!;9
Adam Destine;Ready for chitchat-ting?;9
Adam Destine;Drop me a line...;9
Adam Warlock;Hi there! Adam Warlock on the Super Heroes Chit Chat!;10
Adam Warlock;Ready for chitchat-ting?;10
Adam Warlock;Drop me a line...;10
Aegis (Trey Rollins);Hi there! Aegis (Trey Rollins) on the Super Heroes Chit Chat!;11
Aegis (Trey Rollins);Ready for chitchat-ting?;11
Aegis (Trey Rollins);Drop me a line...;11
Agent Brand;Hi there! Agent Brand on the Super Heroes Chit Chat!;12
Agent Brand;Ready for chitchat-ting?;12
Agent Brand;Drop me a line...;12
Agent X (Nijo);Hi there! Agent X (Nijo) on the Super Heroes Chit Chat!;13
Agent X (Nijo);Ready for chitchat-ting?;13
Agent X (Nijo);Drop me a line...;13
Agent Zero;Hi there! Agent Zero on the Super Heroes Chit Chat!;14
Agent Zero;Ready for chitchat-ting?;14
Agent Zero;Drop me a line...;14
Agents of Atlas;Hi there! Agents of Atlas on the Super Heroes Chit Chat!;15
Agents of Atlas;Ready for chitchat-ting?;15
